Platform,Month,Member,VideoCount,TotalMetric,AvgMetric
TIKTOK,2023-01,REI,3,17600000,5866667
TIKTOK,2023-02,REI,2,22700000,11350000
TIKTOK,2023-03,REI,1,6200000,6200000
TIKTOK,2023-04,REI,5,28900000,5780000
TIKTOK,2023-05,REI,4,15800000,3950000
TIKTOK,2023-06,REI,5,33200000,6640000
TIKTOK,2023-07,REI,4,26500000,6625000
TIKTOK,2023-09,REI,4,7542200,1885550
TIKTOK,2023-10,REI,7,20500000,2928571
TIKTOK,2023-11,REI,4,8400000,2100000
TIKTOK,2023-12,REI,6,15400000,2566667
TIKTOK,2024-01,REI,6,9826400,1637733
TIKTOK,2024-02,REI,6,14400000,2400000
TIKTOK,2024-03,REI,10,60777400,6077740
TIKTOK,2024-04,REI,4,22000000,5500000
TIKTOK,2024-05,REI,22,55731399,2533245
TIKTOK,2024-06,REI,11,75185100,6835009
TIKTOK,2024-07,REI,11,72600000,6600000
TIKTOK,2024-08,REI,13,89400000,6876923
TIKTOK,2024-09,REI,2,9900000,4950000
TIKTOK,2024-10,REI,8,26154600,3269325
TIKTOK,2024-11,REI,5,12200000,2440000
TIKTOK,2024-12,REI,7,36700000,5242857
TIKTOK,2025-01,REI,19,69082300,3635911
TIKTOK,2025-02,REI,27,104324700,3863878
TIKTOK,2025-03,REI,4,36600000,9150000
TIKTOK,2025-04,REI,10,72700000,7270000
TIKTOK,2025-05,REI,7,34600300,4942900
TIKTOK,2025-06,REI,8,24700000,3087500
TIKTOK,2025-07,REI,10,69626300,6962630
TIKTOK,2025-08,REI,11,18002100,1636555
TIKTOK,2025-09,REI,18,35174399,1954133
TIKTOK,2025-10,REI,13,21536000,1656615
TIKTOK,2025-11,REI,4,14225700,3556425
TIKTOK,2025-12,REI,10,29639800,2963980
TIKTOK,2026-01,REI,12,23828800,1985733
TIKTOK,2026-02,REI,1,1700000,1700000
TIKTOK,2021-12,GAEUL,5,14500000,2900000
TIKTOK,2022-01,GAEUL,1,2100000,2100000
TIKTOK,2022-04,GAEUL,6,28386500,4731083
TIKTOK,2022-05,GAEUL,3,10500000,3500000
TIKTOK,2022-06,GAEUL,1,11000000,11000000
TIKTOK,2022-07,GAEUL,2,8600000,4300000
TIKTOK,2022-08,GAEUL,3,25200000,8400000
TIKTOK,2022-09,GAEUL,4,12400000,3100000
TIKTOK,2022-10,GAEUL,1,11400000,11400000
TIKTOK,2022-12,GAEUL,3,5300000,1766667
TIKTOK,2023-01,GAEUL,2,4500000,2250000
TIKTOK,2023-03,GAEUL,4,33099999,8275000
TIKTOK,2023-04,GAEUL,5,68600000,13720000
TIKTOK,2023-05,GAEUL,1,4400000,4400000
TIKTOK,2023-06,GAEUL,3,11500000,3833333
TIKTOK,2023-09,GAEUL,3,9731700,3243900
TIKTOK,2023-10,GAEUL,9,44700000,4966667
TIKTOK,2023-11,GAEUL,2,2800000,1400000
TIKTOK,2023-12,GAEUL,3,27300000,9100000
TIKTOK,2024-01,GAEUL,8,27588300,3448538
TIKTOK,2024-03,GAEUL,10,48393500,4839350
TIKTOK,2024-04,GAEUL,5,20868100,4173620
TIKTOK,2024-05,GAEUL,13,22927000,1763615
TIKTOK,2024-06,GAEUL,2,1939300,969650
TIKTOK,2024-07,GAEUL,5,8400000,1680000
TIKTOK,2024-08,GAEUL,4,7083900,1770975
TIKTOK,2024-09,GAEUL,2,26900000,13450000
TIKTOK,2024-10,GAEUL,2,8700000,4350000
TIKTOK,2024-11,GAEUL,2,2700000,1350000
TIKTOK,2024-12,GAEUL,6,21100000,3516667
TIKTOK,2025-01,GAEUL,11,51484300,4680391
TIKTOK,2025-02,GAEUL,12,21037600,1753133
TIKTOK,2025-03,GAEUL,2,34100000,17050000
TIKTOK,2025-04,GAEUL,6,15700000,2616667
TIKTOK,2025-05,GAEUL,1,700300,700300
