Platform,ID,Title,Members,Views,Likes,Comments,Favorites,Shares,Date,URL
TIKTOK,7250706420297927954,If we ever broke up,GROUP/UNKNOWN,60600000,7200000,83400,,155600,2023-07-01,https://www.tiktok.com/@ive.official/video/7250706420297927954
TIKTOK,7558837558579383559,Sugar performance,GROUP/UNKNOWN,47700000,5600000,41900,,245600,2025-10-08,https://www.tiktok.com/@ive.official/video/7558837558579383559
TIKTOK,7526519516029865224,I am Golden ⚜️ #IVE #아이브 #アイヴ #GAEUL #가을 #ガウル #REI #레이 #レイ #LIZ #리즈 #リズ #Lollapalooza #Lolla #Golden #KpopDemonHunters ,REI/GAEUL/LIZ,35800000,3600000,23800,,108000,2025-07-13,https://www.tiktok.com/@ive.official/video/7526519516029865224
TIKTOK,7330419102734880018,All Night Challenge with ENHYPEN,GROUP/UNKNOWN,34400000,4600000,37500,,51600,2024-02-01,https://www.tiktok.com/@ive.official/video/7330419102734880018
TIKTOK,7495688453804412178,렝렝렝 SAHUR 🪵 #IVE #아이브 #アイヴ #REI #레이 #レイ,REI,32500000,3100000,22700,,313500,2025-04-21,https://www.tiktok.com/@ive.official/video/7495688453804412178
TIKTOK,7221116118855945473,가을 원영 장르로는 GALAXY~💫  #IAMchallenge #아이엠챌린지 #IAM #아이엠 #IVE #아이브 #IveIVE #아이해브아이브 #GAEUL #가을 #JANGWONYOUNG #장원영,WONYOUNG/GAEUL,30600000,2300000,11100,,25200,2023-04-12,https://www.tiktok.com/@ive.official/video/7221116118855945473
TIKTOK,7398100839224626437,𝑺𝒘𝒆𝒆𝒕 𝑬𝒔𝒑𝒓𝒆𝒔𝒔𝒐 ☕🩶 #IVE #아이브 #アイヴ #JANGWONYOUNG #장원영 #ジャンウォニョン #ウォニョン,WONYOUNG,29600000,3900000,30400,,118600,2024-08-01,https://www.tiktok.com/@ive.official/video/7398100839224626437
TIKTOK,7190623071777099009,🐰🐈‍⬛💕 #IVE #아이브 #JANGWONYOUNG #장원영 #LIZ #리즈 #LOVEDIVE #러브다이브 #LOVEDIVEJPチャレンジ #LOVEDIVEJPChallenge,WONYOUNG/LIZ,28500000,2300000,23600,,19300,2023-01-20,https://www.tiktok.com/@ive.official/video/7190623071777099009
TIKTOK,7398433346507885840,Cuteness Overload with IVE and REI,REI,28100000,4300000,67300,,259500,2024-08-02,https://www.tiktok.com/@ive.official/video/7398433346507885840
TIKTOK,7467200190676503826,생일을 맞은 ATTITUDE 🍓໒꒱ ‧₊˚ #IVE #아이브 #アイヴ #REI #레이 #レイ #HappyREIday #어디에서도_레이생일_지키기 🪽 #IVE_EMPATHY #ATTITUDE #IVE_ATTITUDE #REBELHEART #IVE_REBELHEART #ATTITUDEchallenge #IVE가_정할게_ATTITUDE ❤️‍🩹 #NewMusic,REI,26900000,691400,5118,,16100,2025-02-03,https://www.tiktok.com/@ive.official/video/7467200190676503826
TIKTOK,7467173766922226962,Valentine's Day ATTITUDE🍭 #IVE #아이브 #アイヴ  #IVE_EMPATHY  #ATTITUDE #IVE_ATTITUDE  #REBELHEART #IVE_REBELHEART  #ATTITUDEchallenge  #IVE가_정할게_ATTITUDE ❤‍🩹  #NewMusic #ValentinesDay #valentinesong,GROUP/UNKNOWN,25900000,1000000,5438,,17800,2025-02-03,https://www.tiktok.com/@ive.official/video/7467173766922226962
TIKTOK,7412488129908706576,🚨Ｅｍｅｒｇｅｎｃｙ🚨 #IVE #아이브 #アイヴ #JANGWONYOUNG #장원영  #ジャンウォニョン #ウォニョン,WONYOUNG,25700000,3000000,28400,,79200,2024-09-09,https://www.tiktok.com/@ive.official/video/7412488129908706576
TIKTOK,7416703890688724231,김가을 🌟 걷는 모든 곳이 Runway 🎬 #IVE #아이브 #アイヴ #GAEUL #가을 #ガウル,GAEUL,25300000,2600000,24000,,44500,2024-09-20,https://www.tiktok.com/@ive.official/video/7416703890688724231
TIKTOK,7426178350994951431,Kore Watashino STYLE💋💋 #IVE #아이브 #アイヴ #JANGWONYOUNG #장원영  #ジャンウォニョン #ウォニョン,WONYOUNG,24600000,2400000,16700,,52100,2024-10-16,https://www.tiktok.com/@ive.official/video/7426178350994951431
TIKTOK,7107548904505330946,원영이와 함께라면 언제나 Peace and Love 💕#DearCupidchallenge #디어큐피드챌린지 #IVE #아이브 #JANGWONYOUNG #장원영 #LOVEDIVE #러브다이브,WONYOUNG,24000000,3400000,24600,,36600,2022-06-10,https://www.tiktok.com/@ive.official/video/7107548904505330946
TIKTOK,7483752088669785362,𝒍𝒊𝒌𝒆 𝑮𝑨𝑬𝑼𝑳 #IVE #아이브 #アイヴ #GAEUL #가을 #ガウル,GAEUL,23500000,3100000,16800,,38200,2025-03-20,https://www.tiktok.com/@ive.official/video/7483752088669785362
TIKTOK,7313377355844603138,아이브 첫눈 챌린지 보면 눈물 차 올라 🥹🤍 아무 말 못해 🫢🤍 #IVE #아이브 #アイヴ  #ANYUJIN #안유진 #アンユジン #ユジン #GAEUL #가을 #ガウル #LIZ #리즈 #リズ #LEESEO #이서 #イソ,YUJIN/GAEUL/LIZ/LEESEO,23300000,2400000,13200,,17800,2023-12-17,https://www.tiktok.com/@ive.official/video/7313377355844603138
TIKTOK,7215936477006433537,"Kitsch, Kitsch, Kitsch, Kitsch, Kitsch, Kitsch, Kitsch! 🕶  #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브",GROUP/UNKNOWN,23000000,1900000,8302,,11500,2023-03-29,https://www.tiktok.com/@ive.official/video/7215936477006433537
TIKTOK,7468289573928406279,IVE가 정할게 👑🖤  #IVE #아이브 #アイヴ  #IVE_EMPATHY #ATTITUDE #IVE_ATTITUDE #REBELHEART #IVE_REBELHEART #ATTITUDEchallenge #NewMusic,GROUP/UNKNOWN,22600000,253900,3008,,4911,2025-02-06,https://www.tiktok.com/@ive.official/video/7468289573928406279
TIKTOK,7473098699204332807,𝑺𝒊𝒈𝒎𝒂 𝑮𝒊𝒓𝒍🐈‍⬛🖤 #IVE #아이브 #アイヴ #JANGWONYOUNG #장원영 #ジャンウォニョン #ウォニョン #IVE_EMPATHY #ATTITUDE #IVE_ATTITUDE #REBELHEART #IVE_REBELHEART,WONYOUNG,22300000,2900000,38800,,249500,2025-02-19,https://www.tiktok.com/@ive.official/video/7473098699204332807
TIKTOK,7392480441242029332,REI is star🌟 #IVE #아이브 #アイヴ  #REI #레이 #レイ ,REI,22200000,3000000,16500,,48700,2024-07-17,https://www.tiktok.com/@ive.official/video/7392480441242029332
TIKTOK,7347904184986930439,☄ 주의 ☄이 동그라미들은 매우 귀엽습니다‼️ #IVE #아이브 #アイヴ #ANYUJIN #안유진  #アンユジン #ユジン #GAEUL #가을 #ガウル #REI #레이 #レイ #fireballchallenge,YUJIN/REI/GAEUL,21400000,3000000,13500,,34400,2024-03-19,https://www.tiktok.com/@ive.official/video/7347904184986930439
TIKTOK,7178361511197297921,콘수니 귀여워서 미안 🎀 #IVE #아이브 #REI #레이 ,REI,20900000,2600000,27700,,55600,2022-12-18,https://www.tiktok.com/@ive.official/video/7178361511197297921
TIKTOK,7134993470447455490,FIREWORKS ❤‍🔥 FASEECOM  WITH IVE  #IVE #아이브 #アイヴ #AfterLIKE #애프터라이크 ,GROUP/UNKNOWN,20700000,3500000,16100,,19500,2022-08-23,https://www.tiktok.com/@ive.official/video/7134993470447455490
TIKTOK,7385097460496026881,🚰 ᵒ̴̶̷̥́ ·̫ ᵒ̴̶̷̣̥̀🚰 #IVE #아이브 #アイヴ  #REI #레이 #レイ ,REI,20600000,3700000,43600,,203200,2024-06-27,https://www.tiktok.com/@ive.official/video/7385097460496026881
TIKTOK,7381765665360760071,동그란 티라미수 케이크 🍰 #IVE #아이브 #アイヴ #REI #레이 #レイ,REI,20400000,2400000,11600,,47300,2024-06-18,https://www.tiktok.com/@ive.official/video/7381765665360760071
TIKTOK,7482716059124911378,Kawaii Reii ◡̈⋆* #IVE #아이브 #アイヴ #REI #레이 #レイ,REI,20300000,2700000,17700,,101700,2025-03-17,https://www.tiktok.com/@ive.official/video/7482716059124911378
TIKTOK,7402453426975575304,Is it you?🤷🏻‍♀🖤 #IVE #아이브 #アイヴ #JANGWONYOUNG #장원영 #ジャンウォニョン #ウォニョン,WONYOUNG,20100000,2700000,27300,,53600,2024-08-13,https://www.tiktok.com/@ive.official/video/7402453426975575304
TIKTOK,7396175871511432466,pompom 〰️ 🐰🍀 #IVE #아이브 #アイヴ #JANGWONYOUNG #장원영 #ジャンウォニョン #ウォニョン ,WONYOUNG,20100000,2400000,24100,,53100,2024-07-27,https://www.tiktok.com/@ive.official/video/7396175871511432466
TIKTOK,7180949543960300801,유후 크리스마스 〰️🎄🎅❄️⛄️🎁💚 #AfterLIKE #애프터라이크 #IVE #아이브  #Christmas #크리스마스,GROUP/UNKNOWN,19100000,2400000,25500,,18100,2022-12-25,https://www.tiktok.com/@ive.official/video/7180949543960300801
TIKTOK,7085322864978709762,My god I love it 💘#LOVEDIVEchallenge #러브다이브챌린지 #IVE #아이브 #WONYOUNG #원영 #LOVEDIVE #러브다이브,WONYOUNG,18600000,1600000,8971,,16100,2022-04-11,https://www.tiktok.com/@ive.official/video/7085322864978709762
TIKTOK,7459400304694545671,IVE 모양대로 할게 🖤 #IVE #아이브 #アイヴ #GAEUL #가을 #ガウル #JANGWONYOUNG #장원영 #ジャンウォニョン #ウォニョン #LIZ #리즈 #リズ #IVE_EMPATHY #REBELHEART #IVE_REBELHEART #REBELHEARTchallenge #NewMusic,WONYOUNG/GAEUL/LIZ,18400000,1200000,10400,,25200,2025-01-13,https://www.tiktok.com/@ive.official/video/7459400304694545671
TIKTOK,7042946897392241921,#elevenchallenge,GROUP/UNKNOWN,17700000,2300000,21900,,19300,2021-12-18,https://www.tiktok.com/@ive.official/video/7042946897392241921
TIKTOK,7320152327904627969,Mua~💋💕 #IVE #아이브 #アイヴ #JANGWONYOUNG #장원영 #ジャンウォニョン #ウォニョン ,WONYOUNG,17500000,2000000,22200,,22800,2024-01-04,https://www.tiktok.com/@ive.official/video/7320152327904627969
TIKTOK,7404076907584556308,뿅아리 최초 땐스 🐣🕺 #IVE #아이브 #アイヴ  #REI #레이 #レイ ,REI,16800000,2400000,22300,,84900,2024-08-17,https://www.tiktok.com/@ive.official/video/7404076907584556308
TIKTOK,7107168503857220865,두콩즈 Peace and Love 🥜💚#DearCupidchallenge #디어큐피드챌린지 #IVE #아이브 #ANYUJIN #안유진 #REI #레이 #LOVEDIVE #러브다이브,YUJIN/REI,16700000,2200000,12800,,24200,2022-06-09,https://www.tiktok.com/@ive.official/video/7107168503857220865
TIKTOK,7221364127069932802,🪫 I AM 11% I AM 111% I AM 1111% 🔋 #IAMchallenge #아이엠챌린지 #IAM #아이엠 #IVE #아이브 #IveIVE #아이해브아이브 #GAEUL #가을 #JANGWONYOUNG #장원영 #LIZ #리즈 #퍼센트챌린지 ,WONYOUNG/GAEUL/LIZ,16600000,1900000,18600,,20700,2023-04-13,https://www.tiktok.com/@ive.official/video/7221364127069932802
TIKTOK,7380300699671760135,야채를 너무 먹은 레이…🥕🥒🍅 #IVE #아이브 #アイヴ #REI #레이 #レイ,REI,16300000,2000000,12200,,39300,2024-06-14,https://www.tiktok.com/@ive.official/video/7380300699671760135
TIKTOK,7497180216951917831,ෆ₍˄·͈༝·͈˄₎ෆ #IVE #아이브 #アイヴ #LIZ #리즈 #リズ #stecu,LIZ,15900000,1600000,22000,,123500,2025-04-25,https://www.tiktok.com/@ive.official/video/7497180216951917831
TIKTOK,7359455492952837377,워녕이의 OTT 들으면서 TURN 🧚‍♀ #IVE #아이브 #アイヴ #JANGWONYOUNG #장원영 #ジャンウォニョン #ウォニョン #장원영턴 #IVE_OTT #OTT,WONYOUNG,15900000,2300000,19300,,72100,2024-04-19,https://www.tiktok.com/@ive.official/video/7359455492952837377
TIKTOK,7209239723661888776,I think that IVE LOVE 💘DIVE💘 #IVE #아이브 #アイヴ  #아돈띵댓챌린지,GROUP/UNKNOWN,15900000,2200000,16800,,22200,2023-03-11,https://www.tiktok.com/@ive.official/video/7209239723661888776
TIKTOK,7220374287604010242,IVE만 믿으면 돼 💕 #IAMchallenge #아이엠챌린지 #IAM #아이엠 #IVE #아이브 #IveIVE #아이해브아이브 ,GROUP/UNKNOWN,15500000,1600000,9802,,23600,2023-04-10,https://www.tiktok.com/@ive.official/video/7220374287604010242
TIKTOK,7201857411383184642,공주즈 좋아해? Me too...💕 #IVE #아이브 #REI #레이 #JANGWONYOUNG #장원영 #MeToo #MeToochallenge,WONYOUNG/REI,15400000,2100000,19200,,25600,2023-02-19,https://www.tiktok.com/@ive.official/video/7201857411383184642
TIKTOK,7216647803802586369,안댕댕 리더 유진이가 추는 춤을 IVE가 따라 춰 💃🏼🪩 #내춤춰챌린지 #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 ,YUJIN,15300000,1900000,15100,,22800,2023-03-31,https://www.tiktok.com/@ive.official/video/7216647803802586369
TIKTOK,7460404911608433927,우린 이유를 묻지 않아도 필요한 사이 👰‍♀️❤️‍🔥 #IVE #아이브 #アイヴ #JANGWONYOUNG #장원영  #ジャンウォニョン #ウォニョン #IVE_EMPATHY #REBELHEART #IVE_REBELHEART #REBELHEARTchallenge #NewMusic,WONYOUNG,15200000,1900000,20800,,42800,2025-01-16,https://www.tiktok.com/@ive.official/video/7460404911608433927
TIKTOK,7461549280319245576,"Na na na, #ANYUJIN #REI #LEESEO in my HEART 🔥🏹 #IVE #아이브 #アイヴ #안유진 #アンユジン #ユジン #레이 #レイ #이서 #イソ #IVE_EMPATHY #REBELHEART #IVE_REBELHEART #REBELHEARTchallenge #NewMusic ",YUJIN/REI/LEESEO,15100000,170400,1650,,3300,2025-01-19,https://www.tiktok.com/@ive.official/video/7461549280319245576
TIKTOK,7135039354828901634,피곤하게 하고 싶은 여성 1위 “그” 선배 #IVE #아이브 #AfterLIKE #애프터라이크 #GAEUL #가을 #AfterLIKEchallenge #애프터라이크챌린지 ,GAEUL,15100000,1700000,14000,,11900,2022-08-23,https://www.tiktok.com/@ive.official/video/7135039354828901634
TIKTOK,7289636161507626247,우리 DNA엔 은행장 blood runs 🏦🩷 (With. #LE_SSERAFIM #HONGEUNCHAE #이채민) #BaddieChallenge #Baddie #IVE #아이브 #アイヴ #JANGWONYOUNG #르세라핌 #홍은채 #NewMusic,WONYOUNG,14700000,1500000,6566,,13100,2023-10-14,https://www.tiktok.com/@ive.official/video/7289636161507626247
TIKTOK,7227041506782121223,고양이가 눌렀어요 🐾🐈 #IAMchallenge #아이엠챌린지 #IAM #아이엠 #IVE #아이브 #LIZ #리즈 #IveIVE #아이해브아이브,LIZ,14500000,2000000,12700,,8165,2023-04-28,https://www.tiktok.com/@ive.official/video/7227041506782121223
TIKTOK,7250490756962569490,자기 전에 올리는 마카레나 💁‍♀ (P.S 🎵 오늘의 추천 곡 “NOT SORRY - 이영지”…🫶) #IVE #아이브 #アイヴ #ANYUJIN #안유진 #アンユジン #ユジン #이영지 #뿅뿅지구오락실2 #eartharcade2 ,YUJIN,14400000,2100000,8459,,18000,2023-06-30,https://www.tiktok.com/@ive.official/video/7250490756962569490
TIKTOK,7363288783363509512,레이가 보여주는 Easy ver. 해야 챌린지🐥 #해야챌린지 #HEYAchallenge #해야 #HEYA #IVE #아이브 #アイヴ #REI #레이 #レイ #2ndEP #IVE_SWITCH #NewMusic ,REI,14300000,845500,5375,,10400,2024-04-29,https://www.tiktok.com/@ive.official/video/7363288783363509512
TIKTOK,7213660837960011015,언제나 반짝이는 같은 차즈 ”춤추자“💃  #IVE #아이브 #ANYUJIN #안유진 #GAEUL #가을 #LEESEO #이서 #nightdancer #nightdancerchallenge,YUJIN/GAEUL/LEESEO,14200000,1700000,6997,,16900,2023-03-23,https://www.tiktok.com/@ive.official/video/7213660837960011015
TIKTOK,7592919874838744327,You(=졸업) 🎓 #IVE #아이브  #LEESEO #이서 ,LEESEO,14100000,1800000,8101,,50200,2026-01-08,https://www.tiktok.com/@ive.official/video/7592919874838744327
TIKTOK,7468863532382031122,dokgodieinsaeng ATTITUDE 👥👍💃 with #이영지 @youngji_02 #IVE #아이브 #アイヴ #IVE_EMPATHY #ATTITUDE #IVE_ATTITUDE #REBELHEART #IVE_REBELHEART #ATTITUDEchallenge ,GROUP/UNKNOWN,14100000,2000000,8459,,17200,2025-02-08,https://www.tiktok.com/@ive.official/video/7468863532382031122
TIKTOK,7405151469143330056,ただのサツマイモ🍠  고구마시간 #IVE #아이브 #アイヴ #JANGWONYOUNG #장원영 #ジャンウォニョン #ウォニョン,WONYOUNG,14000000,1600000,11900,,28600,2024-08-20,https://www.tiktok.com/@ive.official/video/7405151469143330056
TIKTOK,7348336991962008839,국제 행복의 날이니까 DIVE의 날 🩵 #IVE #아이브 #アイヴ #ANYUJIN #안유진  #アンユジン #ユジン #GAEUL #가을 #ガウル #REI #레이 #レイ #LIZ #리즈 #リズ #BlueMonday,YUJIN/REI/GAEUL/LIZ,14000000,1500000,6306,,11300,2024-03-20,https://www.tiktok.com/@ive.official/video/7348336991962008839
TIKTOK,7289372790594096386,Follow these moves and join IVE’s #BaddieChallenge 🐱 #Baddie #IVE #아이브 #アイヴ #1stEP #IVEMINE #EitherWay #OfftheRecord #NewMusic ,GROUP/UNKNOWN,14000000,1100000,7722,,18700,2023-10-13,https://www.tiktok.com/@ive.official/video/7289372790594096386
TIKTOK,7397251615738072328,YUJIN 🟰 🌟 #IVE #아이브 #アイヴ #ANYUJIN #안유진 #アンユジン #ユジン,YUJIN,13500000,1600000,12900,,33700,2024-07-30,https://www.tiktok.com/@ive.official/video/7397251615738072328
TIKTOK,7294594839184706823,슬릭백이다 vs 이어달리기다 #IVE #아이브 #アイヴ #GAEUL #가을 #ガウル #LIZ #리즈 #リズ #LEESEO #이서 #イソ #1stEP #IVEMINE #Eitherway #OfftheRecord #Baddie #slickback ,GAEUL/LIZ/LEESEO,12900000,1300000,8456,,8422,2023-10-27,https://www.tiktok.com/@ive.official/video/7294594839184706823
TIKTOK,7452627334856789255,ser redondo ⚫️⚪️ #IVE #아이브 #アイヴ #REI #레이 #レイ,REI,12800000,2000000,14700,,43300,2024-12-26,https://www.tiktok.com/@ive.official/video/7452627334856789255
TIKTOK,7461558264589831442,"Na na na, #GAEUL #JANGWONYOUNG #LIZ in my HEART 🔥🏹 #IVE #아이브 #アイヴ #가을 #ガウル  #장원영 #ジャンウォニョン #ウォニョン #리즈 #リズ #IVE_EMPATHY #REBELHEART #IVE_REBELHEART #REBELHEARTchallenge #NewMusic ",WONYOUNG/GAEUL/LIZ,12700000,247300,2176,,3971,2025-01-19,https://www.tiktok.com/@ive.official/video/7461558264589831442
TIKTOK,7254126173926526216,선글라스 없이도 수상해 보이는 법 😎 #IVE #아이브 #アイヴ #ANYUJIN #안유진 #アンユジン #ユジン #REI #레이 #レイ #LIZ #리즈 #リズ #LEESEO #이서 #イソ ,YUJIN/REI/LIZ/LEESEO,12700000,1800000,14300,,24500,2023-07-10,https://www.tiktok.com/@ive.official/video/7254126173926526216
TIKTOK,7588890664394476821,⁶ 🤷‍♀️ ⁷ #IVE #아이브  #REI #레이 ,REI,12600000,2300000,11400,,166900,2025-12-28,https://www.tiktok.com/@ive.official/video/7588890664394476821
TIKTOK,7573569770335833352,울퉁불퉁하다 〰️ 울퉁불퉁 🫨 #IVE #아이브 #JANGWONYOUNG #LIZ #LEESEO,WONYOUNG/LIZ/LEESEO,12600000,1600000,4306,,27400,2025-11-17,https://www.tiktok.com/@ive.official/video/7573569770335833352
TIKTOK,7273346548145147137,생일 기념 체리냥이파 선물 🐈🤍 #IVE #아이브 #アイヴ #JANGWONYOUNG #장원영 #ジャンウォニョン #ウォニョン #HappyJANGWONYOUNGday #해피_버스데이_녕 🐰 ,WONYOUNG,12000000,1400000,38400,,49400,2023-08-31,https://www.tiktok.com/@ive.official/video/7273346548145147137
TIKTOK,7215225588380945672,가을이가 추는 춤을 모두 따라 춰 💃🏼🪩 #내춤춰챌린지 #Kitsch  #KitschChallenge #키치챌린지  #IVE #아이브 #IveIVE #아이해브아이브,GAEUL,11900000,1600000,5362,,8575,2023-03-27,https://www.tiktok.com/@ive.official/video/7215225588380945672
TIKTOK,7395820239579041032,렝준표 ꔛ❛ө❛ꔛ · ₊ ˚✿ #IVE #아이브 #アイヴ #REI #레이 #レイ,REI,11800000,1700000,9533,,39000,2024-07-26,https://www.tiktok.com/@ive.official/video/7395820239579041032
TIKTOK,7120124686708624641,공주의 외출 준비 🐰👑#LOVEDIVEchallenge #러브다이브챌린지 #IVE #아이브 #JANGWONYOUNG #장원영 #LOVEDIVE #러브다이브,WONYOUNG,11700000,1900000,24000,,12100,2022-07-14,https://www.tiktok.com/@ive.official/video/7120124686708624641
TIKTOK,7300584142520061186,체리체리🍒 뽀삐뽀🐰🎀 #IVE #아이브 #アイヴ #JANGWONYOUNG #장원영 #ジャンウォニョン #ウォニョン,WONYOUNG,11500000,1600000,14900,,26000,2023-11-12,https://www.tiktok.com/@ive.official/video/7300584142520061186
TIKTOK,7216678718213868802,지구용사 #이영지 와 지락실 멤버들의 #내춤춰챌린지 💃🏼  #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #ANYUJIN #안유진 #IveIVE #아이해브아이브 #뿅뿅지구오락실 #지락실 ,YUJIN,11500000,1400000,2554,,3905,2023-03-31,https://www.tiktok.com/@ive.official/video/7216678718213868802
TIKTOK,7150644323535604994,가을선배도 탑승합니다 🏍💨 #IVE #아이브 #GAEUL #가을 #새삥챌린지 ,GAEUL,11400000,2000000,28500,,25300,2022-10-04,https://www.tiktok.com/@ive.official/video/7150644323535604994
TIKTOK,7215890366476864770,"YOU'RE SO WEIRD, DON'T CHANGE 💗🎀  #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브",GROUP/UNKNOWN,11200000,844600,4972,,7752,2023-03-29,https://www.tiktok.com/@ive.official/video/7215890366476864770
TIKTOK,7135810420522093825,Tweety-녕 🐣 ❣️ #IVE #아이브 #AfterLIKE #애프터라이크 #JANGWONYOUNG #장원영 #AfterLIKEchallenge #애프터라이크챌린지 ,WONYOUNG,11200000,1400000,12800,,15000,2022-08-25,https://www.tiktok.com/@ive.official/video/7135810420522093825
TIKTOK,7459392431276969224,✧₊⁎ 쏘아올려 𝑹𝑬𝑩𝑬𝑳 𝑯𝑬𝑨𝑹𝑻 🏹 #IVE #아이브 #アイヴ #ANYUJIN #안유진  #アンユジン #ユジン #REI #레이 #レイ #LEESEO #이서 #イソ #IVE_EMPATHY #REBELHEART #IVE_REBELHEART #REBELHEARTchallenge #NewMusic,YUJIN/REI/LEESEO,11000000,506600,4324,,12100,2025-01-13,https://www.tiktok.com/@ive.official/video/7459392431276969224
TIKTOK,7388831522620443912,자꾸 생각나… 견딜 수가 (더보기) #IVE #아이브 #アイヴ #REI #레이 #レイ,REI,11000000,1800000,16600,,61500,2024-07-07,https://www.tiktok.com/@ive.official/video/7388831522620443912
TIKTOK,7192849518839319809,두콩즈 ✨MODEL FACE✨  #IVE #아이브 #ANYUJIN #안유진 #REI #레이 #모델페이스 #modelface,YUJIN/REI,11000000,1200000,4623,,7125,2023-01-26,https://www.tiktok.com/@ive.official/video/7192849518839319809
TIKTOK,7105299144981368065,#LOVEDIVEchallenge #정세운 선배님 Ver. (이라고 쓰고 러브다이. 라고 읽는) 시작하겠습니다 ✊#러브다이브챌린지 #IVE #아이브 #GAEUL #가을 #REI #레이 #LOVEDIVE #러브다이브#JEONGSEWOON,REI/GAEUL,11000000,1400000,7487,,7956,2022-06-04,https://www.tiktok.com/@ive.official/video/7105299144981368065
TIKTOK,7546937024897486087,단장즈 안아 #IVE GAEUL JANGWONYOUNG #IVE_SECRET  #XOXZ #IVE_XOXZ,WONYOUNG/GAEUL,10900000,1100000,4266,,26800,2025-09-06,https://www.tiktok.com/@ive.official/video/7546937024897486087
TIKTOK,7462971174021025031,Don't Cheat!💋👅♥️ #IVE #아이브 #アイヴ  #JANGWONYOUNG #장원영 #ジャンウォニョン #ウォニョン #IVE_EMPATHY #REBELHEART #IVE_REBELHEART #ATTITUDE #IVE_ATTITUDE,WONYOUNG,10900000,1200000,8177,,21400,2025-01-23,https://www.tiktok.com/@ive.official/video/7462971174021025031
TIKTOK,7290153790815161608,"I’m chasing, chasing 🏃Catch me if you can! 😈 #TOMORROW_X_TOGETHER #YEONJUN #HUENINGKAI 선배님과의 #BaddieChallenge  #Baddie #IVE #아이브 #アイヴ #ANYUJIN #안유진 #LEESEO #이서 #투모로우바이투게더 #연준 #휴닝카이 #NewMusic ",YUJIN/LEESEO,10900000,1400000,11600,,22100,2023-10-15,https://www.tiktok.com/@ive.official/video/7290153790815161608
TIKTOK,7088190314090925314,깡총 DIVE 🐰🙇‍♀️#LOVEDIVEchallenge #러브다이브챌린지 #IVE #아이브 #JANGWONYOUNG #장원영 #LOVEDIVE #러브다이브,WONYOUNG,10900000,1500000,11400,,5989,2022-04-19,https://www.tiktok.com/@ive.official/video/7088190314090925314
TIKTOK,7592195265776356616,🎀🩷🐰 #IVE #아이브 #JANGWONYOUNG #장원영,WONYOUNG,10700000,1700000,11200,,76400,2026-01-06,https://www.tiktok.com/@ive.official/video/7592195265776356616
TIKTOK,7487192027482967302,‎ง‎🍙ว‎ ‎٩🍙۶ง🍙ว ˖⁺‧₊˚♡ #IVE #아이브 #アイヴ #ANYUJIN #안유진  #アンユジン #ユジン #GAEUL #가을 #ガウル #REI #레이 #レイ,YUJIN/REI/GAEUL,10600000,1500000,11100,,52000,2025-03-29,https://www.tiktok.com/@ive.official/video/7487192027482967302
TIKTOK,7453369416798031111,오렌지 카와이 - 샹하이 로맨스 (上海之戀) #IVE #아이브 #アイヴ #GAEUL #가을 #ガウル #REI #레이 #レイ #LEESEO #이서 #イソ #IVE_EMPATHY,REI/GAEUL/LEESEO,10600000,1200000,9397,,18100,2024-12-28,https://www.tiktok.com/@ive.official/video/7453369416798031111
TIKTOK,7291630305302023431,킥진이 앞에서는 절로 숙여지는 고개 🫨 #Baddie #IVE #아이브 #アイヴ #ANYUJIN #안유진 #BaddieChallenge #NewMusic ,YUJIN,10600000,1400000,5335,,14500,2023-10-19,https://www.tiktok.com/@ive.official/video/7291630305302023431
TIKTOK,7524664072365739271,My soda pop 이즈 히얼 ｡❛◡❛｡ #IVE #아이브 #アイヴ #GAEUL #가을 #ガウル #LEESEO #이서 #イソ #SodaPop #KpopDemonHunters,GAEUL/LEESEO,10500000,742500,6356,,21900,2025-07-08,https://www.tiktok.com/@ive.official/video/7524664072365739271
TIKTOK,7568390480807873800,🥀🖤 #IVE #아이브 #ANYUJIN #안유진,YUJIN,10400000,1600000,6565,,38100,2025-11-03,https://www.tiktok.com/@ive.official/video/7568390480807873800
TIKTOK,7418443618345553160,Everyday Everynight with 🐰💭🤍 #IVE #아이브 #アイヴ #JANGWONYOUNG #장원영  #ジャンウォニョン #ウォニョン,WONYOUNG,10300000,1100000,9876,,19200,2024-09-25,https://www.tiktok.com/@ive.official/video/7418443618345553160
TIKTOK,7506480814583041288,donkey donk ₊ ⊹ᯓ #IVE #아이브 #アイヴ #REI #레이 #レイ,REI,10200000,1400000,5103,,20400,2025-05-20,https://www.tiktok.com/@ive.official/video/7506480814583041288
TIKTOK,7494878931380751624,🎀🩰☕️ #IVE #아이브 #アイヴ #REI #레이 #レイ ,REI,10200000,2000000,13700,,131100,2025-04-19,https://www.tiktok.com/@ive.official/video/7494878931380751624
