Platform,ID,Title,Members,Views,Likes,Comments,Favorites,Shares,Date,URL
TIKTOK,7549063218447027474,Where is my IVE ⁉️ #IVE #IVE_SECRET #XOXZ #IVE_XOXZ,GROUP/UNKNOWN,297900,31700,548,,731,2025-09-12,https://www.tiktok.com/@ive.official/video/7549063218447027474
TIKTOK,7605436779654548744,🟤🤷‍♀️🌹 <<< 🫵 #IVE #아이브 #REVIVE_PLUS  #ValentinesDay #LoveSong,GROUP/UNKNOWN,294800,57400,731,,996,2026-02-11,https://www.tiktok.com/@ive.official/video/7605436779654548744
TIKTOK,7546849364417711367,RE : DEAR CUPID 🏹 #IVE #IVE_SECRET  #XOXZ #IVE_XOXZ,GROUP/UNKNOWN,292900,30000,577,,629,2025-09-06,https://www.tiktok.com/@ive.official/video/7546849364417711367
TIKTOK,7542506772393725192,XOXZ with 🦝💤 엄태구 단순노동 #IVE #ANYUJIN  #XOXZ #XOXZchallenge #NewMusic,YUJIN,273000,34900,527,,448,2025-08-25,https://www.tiktok.com/@ive.official/video/7542506772393725192
TIKTOK,7605452186419514632,ivemag  #IVE #아이브  #JANGWONYOUNG #장원영 #REVIVE_PLUS,WONYOUNG,226200,34400,640,,1211,2026-02-11,https://www.tiktok.com/@ive.official/video/7605452186419514632
TIKTOK,7605483523402763527,🎬 𝗕𝗔𝗡𝗚 𝗕𝗔𝗡𝗚: Behind The Scenes #IVE #아이브 #REVIVE_PLUS #BANGBANG #IVE_BANGBANG ,GROUP/UNKNOWN,224700,41400,472,,675,2026-02-11,https://www.tiktok.com/@ive.official/video/7605483523402763527
TIKTOK,7605947284383157512,'IVE'S WEEK' DAY 1 🖤 #IVE #아이브  #REVIVE_PLUS  #BANGBANG #IVE_BANGBANG ,GROUP/UNKNOWN,104600,33300,559,,711,2026-02-12,https://www.tiktok.com/@ive.official/video/7605947284383157512
TIKTOK,7605978572095769874,IVE THE 2ND ALBUM <REVIVE+> THE NARCISSISTIC GURLS CAMPAIGN https://youtube.com/shorts/oeOgFrXhZNo ALBUM RELEASE 2026.02.23 MON 6PM (KST) #IVE #아이브  #BANGBANG #IVE_BANGBANG  #BLACKHOLE ,GROUP/UNKNOWN,6836,54300,661,,1934,2026-02-12,https://www.tiktok.com/@ive.official/video/7605978572095769874
YOUTUBE,zLLBJiz7xJs,#IVE #ELEVEN 'IVE'S WEEK' DAY 1 #Shorts,GROUP/UNKNOWN,635000,48221,754,,,2022-01-17,https://www.youtube.com/shorts/zLLBJiz7xJs
YOUTUBE,GJ2E1HpWaRU,#IVE #ELEVEN 'IVE'S WEEK' DAY 2 #Shorts,GROUP/UNKNOWN,435000,37921,300,,,2022-01-18,https://www.youtube.com/shorts/GJ2E1HpWaRU
YOUTUBE,BWzOWxe7t-Q,#IVE #ELEVEN 'IVE'S WEEK' DAY 3 #Shorts,GROUP/UNKNOWN,691000,58287,471,,,2022-01-19,https://www.youtube.com/shorts/BWzOWxe7t-Q
YOUTUBE,9A0tn0pYvP4,#IVE #ELEVEN 'IVE'S WEEK' DAY 4 #Shorts,GROUP/UNKNOWN,317000,33447,256,,,2022-01-20,https://www.youtube.com/shorts/9A0tn0pYvP4
YOUTUBE,NnbjvUZyerU,#IVE #ELEVEN 'IVE'S WEEK' DAY 5 #Shorts,GROUP/UNKNOWN,503000,38787,355,,,2022-01-21,https://www.youtube.com/shorts/NnbjvUZyerU
YOUTUBE,mG_oEI-PsaI,#IVE #ELEVEN 'IVE'S WEEK' DAY 6 #Shorts,GROUP/UNKNOWN,389000,38528,320,,,2022-01-22,https://www.youtube.com/shorts/mG_oEI-PsaI
YOUTUBE,uF6T2iFJvfM,#IVE #ELEVEN 'IVE'S WEEK' DAY 7 #Shorts,GROUP/UNKNOWN,1700000,95363,533,,,2022-01-23,https://www.youtube.com/shorts/uF6T2iFJvfM
YOUTUBE,pp30TqVkf20,#IVE #LOVEDIVE 'IVE'S WEEK' DAY 1 #Shorts,GROUP/UNKNOWN,1400000,79057,595,,,2022-05-03,https://www.youtube.com/shorts/pp30TqVkf20
